Id,LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageCars,PavedDrive,SaleCondition,SalePrice
95,9337,6,5,1997,824,905,881,1786,1,0,2,1,3,1,0,2,Y,Normal,204750
96,9765,6,8,1993,680,680,790,1470,0,0,2,1,3,1,1,2,Y,Normal,185000
97,10264,7,5,1999,1588,1588,0,1588,0,0,2,0,3,1,0,2,Y,Normal,214000
98,10921,4,5,1965,960,960,0,960,1,0,1,0,3,1,0,1,P,Normal,94750
99,10625,5,5,1920,458,835,0,835,0,0,1,0,2,1,0,1,Y,Abnorml,83000
100,9320,4,5,1959,950,1225,0,1225,1,0,1,1,3,1,0,0,Y,Normal,128950
101,10603,6,7,1977,1610,1610,0,1610,1,0,2,0,3,1,2,2,Y,Normal,205000
102,9206,6,5,1985,741,977,755,1732,0,0,2,1,3,1,1,2,Y,Normal,178000
103,7018,5,5,1979,0,1535,0,1535,0,0,2,0,4,2,0,2,Y,Alloca,118964
104,10402,7,5,2009,1226,1226,0,1226,0,0,2,0,3,1,0,3,Y,Normal,198900
105,7758,7,4,1931,1040,1226,592,1818,0,0,1,1,4,1,2,1,Y,Normal,169500
106,9375,8,5,2003,1053,1053,939,1992,0,0,2,1,3,1,1,2,Y,Normal,250000
107,10800,4,7,1885,641,1047,0,1047,0,0,1,0,2,1,0,1,N,Normal,100000
108,6000,5,5,1948,789,789,0,789,0,0,1,0,2,1,0,1,Y,Partial,115000
109,8500,5,7,1919,793,997,520,1517,0,0,2,0,3,1,0,0,N,Normal,115000
110,11751,6,6,1977,1844,1844,0,1844,0,0,2,0,3,1,1,2,Y,Normal,190000
111,9525,6,4,1954,994,1216,639,1855,0,0,2,0,4,1,0,1,Y,Normal,136900
112,7750,7,5,2000,384,774,656,1430,0,0,2,1,3,1,1,2,Y,Normal,180000
113,9965,7,5,2007,1264,1282,1414,2696,1,0,2,1,4,1,1,3,Y,Partial,383970
114,21000,6,5,1953,1809,2259,0,2259,1,0,2,0,3,1,2,2,Y,Abnorml,217000
115,7259,6,8,1945,1028,1436,884,2320,1,0,2,1,3,1,1,1,Y,Normal,259500
116,3230,6,5,1999,729,729,729,1458,0,0,2,1,2,1,1,2,Y,Normal,176000
117,11616,5,5,1962,1092,1092,0,1092,0,1,1,0,3,1,1,1,Y,Normal,139000
118,8536,5,5,2006,1125,1125,0,1125,0,0,1,1,2,1,0,2,Y,Partial,155000
119,12376,7,5,1990,1673,1699,1523,3222,1,0,3,0,5,1,2,3,Y,Normal,320000
120,8461,6,5,2005,728,728,728,1456,0,0,2,1,3,1,1,2,Y,Partial,163990
121,21453,6,5,1969,938,988,0,988,1,0,1,0,1,1,2,2,Y,Normal,180000
122,6060,4,5,1939,732,772,351,1123,0,0,1,0,3,1,0,1,P,Normal,100000
123,9464,6,7,1958,1080,1080,0,1080,0,0,1,0,3,1,0,1,Y,Normal,136000
124,7892,6,5,1993,1199,1199,0,1199,0,0,2,0,2,1,0,2,Y,Normal,153900
125,17043,6,5,1979,1362,1586,0,1586,0,0,2,0,3,1,1,2,Y,Normal,181000
126,6780,6,8,1935,520,520,0,754,1,0,1,0,2,1,0,0,N,Normal,84500
127,4928,6,5,1976,1078,958,0,958,0,0,2,0,2,1,1,2,Y,Normal,128000
128,4388,5,7,1930,672,840,0,840,0,0,1,0,3,1,1,0,N,Normal,87000
129,7590,6,5,1966,660,660,688,1348,0,0,1,1,3,1,1,2,Y,Normal,155000
130,8973,5,7,1958,1008,1053,0,1053,0,1,1,1,3,1,0,2,Y,Abnorml,150000
131,14200,7,6,1966,924,1216,941,2157,0,0,2,1,4,1,2,2,Y,Normal,226000
132,12224,6,5,2000,992,1022,1032,2054,1,0,2,1,3,1,1,2,Y,Normal,244000
133,7388,5,6,1959,1063,1327,0,1327,1,0,1,0,3,1,0,2,Y,Normal,150750
134,6853,8,5,2001,1267,1296,0,1296,1,0,2,0,2,1,0,2,Y,Normal,220000
135,10335,5,6,1968,1461,1721,0,1721,0,0,2,1,3,1,1,2,Y,Normal,180000
136,10400,7,6,1970,1304,1682,0,1682,0,0,2,0,3,1,1,2,Y,Normal,174000
137,10355,5,5,1967,1214,1214,0,1214,0,0,2,0,3,1,1,1,Y,Normal,143000
138,11070,7,5,1988,1907,1959,0,1959,0,0,3,0,5,2,0,3,Y,Family,171000
139,9066,8,5,1999,1004,1004,848,1852,0,0,2,1,3,1,2,3,Y,Normal,230000
140,15426,6,5,1997,928,928,836,1764,1,0,2,1,3,1,0,2,Y,Normal,231500
141,10500,4,5,1971,864,864,0,864,0,0,1,0,3,1,1,0,Y,Normal,115000
142,11645,7,5,2005,1734,1734,0,1734,1,0,2,0,3,1,0,2,Y,Normal,260000
143,8520,5,4,1952,910,910,475,1385,0,0,2,0,4,1,0,2,Y,Normal,166000
144,10335,7,5,1999,1490,1501,0,1501,1,0,2,0,3,1,0,2,Y,Normal,204000
145,9100,5,5,1963,1728,1728,0,1728,1,0,2,0,6,2,0,2,Y,Abnorml,125000
146,2522,6,5,2004,970,970,739,1709,0,0,2,0,3,1,0,2,Y,Normal,130000
147,6120,5,7,1931,715,875,0,875,1,0,1,0,2,1,0,1,Y,Normal,105000
148,9505,7,5,2001,884,884,1151,2035,0,0,2,1,3,1,1,2,Y,Normal,222500
149,7500,7,5,2004,1080,1080,0,1080,1,0,1,0,3,1,0,0,Y,Normal,141000
150,6240,5,4,1936,896,896,448,1344,0,0,1,0,3,1,0,1,Y,Normal,115000
151,10356,5,6,1975,969,969,0,969,0,0,1,1,3,1,0,2,Y,Normal,122000
152,13891,8,5,2007,1710,1710,0,1710,1,0,2,0,2,1,1,3,Y,Partial,372402
153,14803,6,5,1971,825,1097,896,1993,0,0,2,1,4,1,1,2,Y,Normal,190000
154,13500,6,7,1960,1602,1252,0,1252,1,0,1,0,1,1,1,2,Y,Normal,235000
155,11340,6,5,1923,1200,1200,0,1200,0,0,1,0,4,1,0,1,Y,Family,125000
156,9600,6,5,1924,572,572,524,1096,0,0,1,0,2,1,0,0,N,Normal,79000
157,7200,5,7,1950,0,1040,0,1040,0,0,1,0,2,1,0,2,Y,Normal,109500
158,12003,8,5,2009,774,774,1194,1968,0,0,2,1,4,1,1,3,Y,Partial,269500
159,12552,7,5,2004,991,991,956,1947,0,0,2,1,3,1,1,2,Y,Normal,254900
160,19378,7,5,2005,1392,1392,1070,2462,1,0,2,1,4,1,1,2,Y,Partial,320000
161,11120,6,6,1984,1232,1232,0,1232,0,0,2,0,3,1,0,2,Y,Normal,162500
162,13688,9,5,2003,1572,1572,1096,2668,1,0,2,1,3,1,2,3,Y,Normal,412500
163,12182,7,5,2005,1541,1541,0,1541,0,0,2,0,3,1,1,2,Y,Partial,220000
164,5500,4,6,1956,882,882,0,882,0,0,1,0,1,1,0,0,Y,Normal,103200
165,5400,6,7,1926,1149,1149,467,1616,0,0,2,0,3,1,0,1,Y,Normal,152000
166,10106,5,7,1940,644,808,547,1355,1,0,2,0,4,2,0,0,Y,Normal,127500
167,10708,5,5,1955,1617,1867,0,1867,1,0,1,0,2,1,3,1,Y,Normal,190000
168,10562,8,5,2007,1582,1610,551,2161,1,0,1,1,3,1,1,3,Y,Partial,325624
169,8244,7,5,2004,840,840,880,1720,0,0,2,1,3,1,1,2,Y,Normal,183500
170,16669,8,6,1981,1686,1707,0,1707,0,0,2,1,2,1,1,2,Y,Normal,228000
171,12358,5,6,1941,720,854,0,1382,0,0,1,1,2,1,0,2,Y,Normal,128500
172,31770,6,5,1960,1080,1656,0,1656,1,0,1,0,3,1,2,2,P,Normal,215000
173,5306,7,7,1987,1064,1064,703,1767,1,0,2,0,2,1,1,2,Y,Normal,239000
174,10197,6,5,1961,1362,1362,0,1362,1,0,1,1,3,1,1,2,Y,Normal,163000
175,12416,6,5,1986,1606,1651,0,1651,1,0,2,0,3,1,1,2,Y,Normal,184000
176,12615,6,7,1950,1202,2158,0,2158,1,0,2,0,4,1,1,2,Y,Normal,243000
177,10029,6,5,1988,1151,1164,896,2060,0,1,2,1,4,1,1,2,Y,Normal,211000
178,13650,5,5,1958,1052,1252,668,1920,1,0,2,0,4,1,1,2,Y,Normal,172500
179,17423,9,5,2008,2216,2234,0,2234,1,0,2,0,1,1,1,3,Y,Partial,501837
180,8520,5,6,1923,968,968,0,968,0,0,1,0,2,1,0,2,N,Normal,100000
181,2117,6,5,2000,756,769,756,1525,0,0,2,1,3,1,1,2,Y,Normal,177000
182,7588,7,6,1920,793,901,901,1802,0,0,1,1,4,1,1,1,Y,Normal,200100
183,9060,5,6,1957,0,1340,0,1340,0,0,1,0,3,1,1,1,Y,Normal,120000
184,11426,7,5,2003,1362,1362,720,2082,0,0,2,1,3,1,0,2,N,Normal,200000
185,7438,5,8,1908,504,936,316,1252,0,0,1,0,3,1,0,2,Y,Normal,127000
186,22950,10,9,1892,1107,1518,1518,3608,0,0,2,1,4,1,2,3,Y,Normal,475000
187,9947,7,5,1990,1188,1217,0,1217,1,0,2,0,3,1,0,2,Y,Normal,173000
188,10410,5,7,1916,660,808,704,1656,0,0,2,1,3,1,0,1,N,Normal,135000
189,7018,5,5,1979,1086,1224,0,1224,2,0,0,2,2,2,2,2,Y,Alloca,153337
190,4923,8,5,2001,1593,1593,0,1593,1,0,1,1,0,1,1,2,Y,Normal,286000
191,10570,8,8,1932,853,1549,1178,2727,0,0,2,1,3,1,2,2,Y,Normal,315000
192,7472,7,9,1972,725,725,754,1479,1,0,1,1,4,1,0,2,Y,Normal,184000
193,9017,7,5,1999,1431,1431,0,1431,1,0,2,0,3,1,0,2,Y,Normal,192000
194,2522,7,5,2004,970,970,739,1709,0,0,2,0,3,1,0,2,Y,Normal,130000
195,7180,5,7,1972,864,864,0,864,0,0,1,0,3,1,0,1,Y,Normal,127000
196,2280,6,6,1976,855,855,601,1456,0,0,2,1,3,1,1,2,Y,Normal,148500
197,9416,7,5,2007,1726,1726,0,1726,1,0,2,0,3,1,1,3,Y,Partial,311872
198,25419,8,4,1918,1360,1360,1360,3112,1,1,2,0,4,1,1,2,Y,Abnorml,235000
199,5520,6,6,1912,755,929,929,2229,0,0,1,0,5,1,0,0,Y,Abnorml,104000
200,9591,8,5,2004,1713,1713,0,1713,1,0,2,0,3,1,1,3,Y,Normal,274900
201,8546,4,5,2003,1121,1121,0,1121,0,0,2,0,2,1,0,2,Y,Normal,140000
202,10125,6,6,1977,1196,1279,0,1279,0,1,2,0,3,1,2,2,Y,Normal,171500
203,7000,6,6,1924,617,865,445,1310,0,0,2,0,2,1,0,1,Y,Normal,112000
204,4438,6,5,2004,848,848,0,848,1,0,1,0,1,1,1,2,Y,Normal,149000
205,3500,5,7,1947,720,720,564,1284,0,0,1,1,2,1,0,1,Y,Normal,110000
206,11851,7,5,1990,1424,1442,0,1442,0,0,2,0,3,1,0,2,Y,Normal,180500
207,13673,5,5,1962,1140,1696,0,1696,0,0,1,1,3,1,1,1,Y,Normal,143900
208,12493,4,5,1960,1100,1100,0,1100,1,0,1,0,3,1,1,1,Y,Normal,141000
209,14364,7,5,1988,1157,1180,882,2062,1,0,2,1,3,1,1,2,Y,Normal,277000
210,8250,6,7,1964,1092,1092,0,1092,1,0,1,0,3,1,0,2,Y,Normal,145000
211,5604,5,6,1925,864,864,0,864,1,0,1,0,2,1,0,0,Y,Normal,98000
212,10420,6,5,2009,1212,1212,0,1212,0,0,2,0,3,1,0,2,Y,Normal,186000
213,8640,7,5,2009,900,932,920,1852,1,0,2,1,3,1,1,2,Y,Partial,252678
214,13568,5,5,1995,990,990,0,990,0,1,1,0,3,1,0,2,Y,Normal,156000
215,10900,6,7,1977,689,689,703,1392,0,0,1,1,3,1,0,1,Y,Normal,161750
216,10011,5,6,1957,1070,1236,0,1236,0,1,1,0,2,1,1,1,Y,Normal,134450
217,8450,7,5,2004,1436,1436,0,1436,1,0,2,0,3,1,0,2,Y,Normal,210000
218,9906,4,4,1925,686,810,518,1328,0,0,1,0,3,1,0,1,Y,Family,107000
219,15660,7,9,1939,798,1137,817,1954,0,1,1,1,3,1,2,2,Y,Normal,311500
220,3010,7,5,2005,1248,1248,0,1248,0,0,2,0,2,1,0,2,Y,Partial,167240
221,8990,7,5,2006,1498,1498,0,1498,0,0,2,0,2,1,0,2,Y,Partial,204900
222,8068,6,5,2002,1010,1010,1257,2267,0,0,2,1,4,1,1,2,Y,Normal,200000
223,11475,6,6,1975,713,811,741,1552,1,0,2,1,3,1,1,2,Y,Normal,179900
224,10500,4,6,1971,864,864,0,864,0,0,1,0,2,1,0,2,Y,Abnorml,97000
225,13472,10,5,2003,2392,2392,0,2392,0,0,2,0,3,1,1,3,Y,Normal,386250
226,1680,5,5,1971,630,630,672,1302,0,0,2,1,3,1,0,1,Y,Abnorml,112000
227,9950,7,5,1995,1203,1214,1306,2520,0,0,2,1,4,1,1,3,Y,Abnorml,290000
228,1869,6,6,1970,483,483,504,987,0,0,1,1,2,1,0,1,Y,Normal,106000
229,8521,5,5,1967,912,912,0,912,0,0,1,0,3,1,1,1,Y,Normal,125000
230,3182,7,5,2005,1373,1555,0,1555,0,0,2,0,2,1,1,2,Y,Normal,192500
231,8760,6,6,1959,1194,1194,0,1194,1,0,1,0,3,1,0,1,Y,Normal,148000
232,15138,8,5,1995,1462,1490,1304,2794,1,0,2,1,4,1,1,3,Y,Normal,403000
233,1680,6,5,1972,483,483,504,987,0,0,1,1,2,1,1,1,Y,Normal,94500
234,10650,5,6,1976,894,894,0,894,1,0,1,0,3,1,0,1,Y,Normal,128200
235,7851,6,5,2002,860,860,1100,1960,1,0,2,1,4,1,2,2,Y,Normal,216500
236,1680,6,3,1971,483,483,504,987,0,0,1,1,2,1,0,1,Y,Normal,89500
237,8773,7,5,2004,1414,1414,0,1414,0,0,2,0,3,1,0,2,Y,Normal,185500
238,9453,7,7,1993,996,1014,730,1744,0,0,2,1,3,1,0,2,Y,Normal,194500
239,12030,8,5,2007,1694,1694,0,1694,0,0,2,0,3,1,0,3,Y,Partial,318000
240,8741,6,4,1945,735,798,689,1487,0,0,1,1,3,1,1,1,Y,Normal,113000
241,9000,8,5,2008,1566,1566,0,1566,1,0,2,0,3,1,0,2,Y,Normal,262500
242,3880,5,9,1945,686,866,0,866,0,0,1,0,2,1,0,0,Y,Normal,110500
243,5000,5,4,1900,540,889,551,1440,0,0,1,0,3,1,0,1,Y,Normal,79000
244,10762,6,6,1980,626,626,591,1217,0,0,1,1,3,1,1,1,Y,Normal,120000
245,8880,7,5,1994,948,1222,888,2110,1,0,2,1,3,1,2,2,Y,Normal,205000
246,10400,7,5,1988,1845,1872,0,1872,0,1,2,0,3,1,1,2,Y,Normal,241500
247,9142,6,8,1910,1020,908,1020,1928,0,0,2,0,4,2,0,1,Y,Normal,137000
248,11310,6,5,1954,1367,1375,0,1375,0,0,1,0,2,1,1,2,Y,Normal,140000
249,11317,7,5,2003,840,840,828,1668,0,0,2,1,3,1,0,2,Y,Normal,180000
250,159000,6,7,1958,1444,1444,700,2144,0,1,2,0,4,1,2,2,Y,Normal,277000
251,5350,3,2,1940,728,1306,0,1306,0,0,1,0,3,1,0,0,Y,Normal,76500
252,4750,8,5,2006,1573,1625,0,1625,1,1,2,0,2,1,1,2,Y,Family,235000
253,8366,6,5,2004,798,798,842,1640,0,0,2,1,3,1,0,2,Y,Normal,173000
254,9350,6,7,1964,1302,1302,0,1302,0,1,2,0,3,1,0,1,Y,Normal,158000
255,8400,5,6,1957,1314,1314,0,1314,1,0,1,0,3,1,0,1,Y,Normal,145000
256,8738,7,5,1999,975,1005,1286,2291,0,0,2,1,4,1,1,2,Y,Normal,230000
257,8791,6,5,2003,864,864,864,1728,0,0,2,1,3,1,0,2,Y,Normal,207500
258,8814,7,5,2006,1604,1604,0,1604,1,0,2,1,3,1,1,2,Y,Abnorml,220000
259,12435,7,5,2001,963,963,829,1792,0,0,2,1,3,1,1,2,Y,Normal,231500
260,12702,5,5,1956,0,882,0,882,0,0,1,0,2,1,0,1,Y,Normal,97000
261,19296,6,5,1962,1362,1382,0,1382,1,0,1,0,3,1,1,2,Y,Normal,176000
262,9588,8,5,2007,1482,1482,1092,2574,0,0,2,1,3,1,1,3,Y,Partial,276000
263,8471,6,7,1977,506,1212,0,1212,1,0,1,0,3,1,1,2,Y,Normal,151000
264,5500,5,7,1929,926,926,0,1316,1,0,1,0,3,1,0,2,Y,Normal,130000
265,5232,5,5,1925,680,764,0,764,0,0,1,0,2,1,0,2,N,Normal,73000
266,12090,6,6,1981,1422,1422,0,1422,0,0,2,0,3,1,1,2,Y,Normal,175500
267,11207,6,5,1997,802,802,709,1511,1,0,2,1,3,1,1,2,Y,Normal,185000
268,8400,5,8,1939,720,1052,720,2192,0,0,2,1,4,1,1,1,Y,Normal,179500
269,6900,5,6,1940,740,778,0,778,0,0,1,0,2,1,1,1,Y,Normal,120500
270,7917,6,7,1976,1143,1113,0,1113,1,0,1,1,3,1,1,1,Y,Normal,148000
271,10728,8,5,2006,1095,1095,844,1939,0,0,2,1,3,1,1,3,Y,Partial,266000
272,39104,7,7,1954,1385,1363,0,1363,1,0,1,0,2,1,2,2,Y,Normal,241500
273,11764,8,7,1999,1152,1164,1106,2270,0,0,2,1,4,1,1,3,Y,Normal,290000
274,9600,6,6,1958,1240,1632,0,1632,1,0,2,0,3,1,1,1,Y,Normal,139000
275,8314,5,7,1982,816,816,0,816,0,0,1,0,2,1,0,1,Y,Normal,124500
276,7264,7,7,1925,952,952,596,1548,0,0,2,1,3,1,0,2,Y,Normal,205000
277,9196,7,5,2003,1560,1560,0,1560,0,0,2,0,3,1,0,2,Y,Normal,201000
278,19138,4,5,1951,864,864,0,864,0,0,1,0,2,1,0,2,Y,Normal,141000
279,14450,9,5,2006,2121,2121,0,2121,0,0,2,1,3,1,1,3,Y,Partial,415298
280,10005,7,5,1977,1160,1156,866,2022,0,0,2,1,4,1,1,2,Y,Normal,192000
281,11287,7,6,1989,807,1175,807,1982,0,0,2,1,3,1,1,2,Y,Normal,228500
282,7200,6,5,2006,1262,1262,0,1262,0,0,2,0,2,1,0,2,Y,Partial,185000
283,5063,7,5,2007,1314,1314,0,1314,1,0,2,0,2,1,1,2,Y,Normal,207500
284,9612,8,5,2008,1468,1468,0,1468,0,0,2,0,3,1,1,3,Y,Partial,244600
