show_id,rating,duration,listed_in,score,votes,popularity
s55,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies",5.3,12119,5.1
s56,TV-PG,6 Seasons,Reality TV,5.1,7889,4.6
s57,TV-14,102 min,"Action & Adventure, Anime Features, International Movies",6.8,3436,6.9
s58,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies",7.8,6710,7.8
s59,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies",5.2,16398,5.4
s60,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",4.5,17308,4.3
s61,TV-14,85 min,"Action & Adventure, Anime Features, International Movies",4.4,4487,4.4
s62,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies",5.6,22173,5.2
s63,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",5.4,6959,5.4
s64,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies",6.6,5842,6.1
s65,TV-PG,103 min,Children & Family Movies,5.7,8827,5.9
s66,TV-Y,6 Seasons,Kids' TV,8.6,227,8.7
s67,TV-G,1 Season,"Docuseries, International TV Shows",6.7,22476,6.9
s68,TV-PG,9 Seasons,"Kids' TV, TV Comedies",6.7,27194,6.6
s69,TV-14,113 min,"Documentaries, International Movies, Sports Movies",7.4,22922,7.8
s70,TV-PG,1 Season,"International TV Shows, TV Dramas",7.8,22302,8
s71,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",5.3,298,4.9
s72,TV-Y,13 min,Children & Family Movies,7.2,10,7.2
s73,TV-MA,5 Seasons,"British TV Shows, Docuseries, International TV Shows",7.6,5577,7.3
s74,TV-MA,182 min,"Dramas, International Movies",5.9,432,5.8
s75,TV-PG,2 Seasons,Reality TV,6.7,1383,6.5
s76,TV-G,106 min,Children & Family Movies,5.4,336,5.1
s77,TV-14,1 Season,"Anime Series, International TV Shows",7.7,846,8.2
s78,TV-Y7,48 min,"Children & Family Movies, Comedies",7.6,4120,7.7
s79,TV-14,145 min,"Comedies, Dramas, International Movies",5.4,1635,5.8
s80,TV-14,145 min,"Comedies, Dramas, International Movies",5.5,24856,5.4
s81,TV-Y7,93 min,Children & Family Movies,7.5,19323,7.5
s82,R,106 min,Action & Adventure,6.2,61030,6.7
s83,TV-14,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",7,9578,7.4
s84,TV-MA,1 Season,Reality TV,5.6,590,5.6
s85,TV-MA,147 min,"Action & Adventure, Comedies, Dramas",4.6,20307,4.7
s86,TV-Y7,1 Season,"Anime Series, Kids' TV",5.5,20442,5.4
s87,TV-MA,87 min,"International Movies, Thrillers",4.3,7747,4.6
s88,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",5.9,4318,6.3
s89,PG-13,96 min,"Documentaries, Sports Movies",6.9,986,7.3
s90,TV-Y7,4 Seasons,Kids' TV,5.1,7280,4.9
s91,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers",7.9,17217,8.4
s92,TV-14,92 min,"Documentaries, International Movies",6.4,1324,6.1
s93,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",7.1,32118,6.7
s94,TV-MA,91 min,"Dramas, International Movies, Romantic Movies",5.3,1815,5.7
s95,PG,90 min,"Children & Family Movies, Comedies",7.2,26981,7.7
s96,TV-MA,3 Seasons,Reality TV,7.3,7026,7.1
s97,TV-MA,97 min,"Documentaries, Music & Musicals",4.4,21770,3.9
s98,TV-Y7,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",7.9,1462,7.8
s99,TV-Y,1 Season,"British TV Shows, Kids' TV",7.4,100,7
s100,TV-MA,1 Season,"TV Comedies, TV Dramas",6.5,3169,6.6
s101,TV-Y7,2 Seasons,Kids' TV,6.2,15,6.4
s102,TV-MA,80 min,"Documentaries, Sports Movies",7.6,2865,7.5
s103,TV-14,1 Season,"Docuseries, Science & Nature TV",7.8,1915,7.5
s104,TV-MA,117 min,"Dramas, International Movies, Thrillers",7.8,23811,7.8
s105,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",5.4,29567,5.1
s106,TV-14,128 min,"Action & Adventure, Comedies, Dramas",7.8,29081,7.5
s107,TV-G,5 Seasons,"Kids' TV, TV Comedies",5.8,28376,6.1
s108,G,90 min,"Children & Family Movies, Dramas",5.2,15654,4.8
s109,TV-G,1 Season,"Kids' TV, TV Dramas, Teen TV Shows",6.2,912,6.2
s110,TV-MA,5 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",7.9,20752,7.8
s111,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",7.8,20846,7.8
s112,TV-Y,1 Season,Kids' TV,5.9,174,5.7
s113,PG-13,119 min,Dramas,6.8,14516,7.1
s114,TV-PG,110 min,"Comedies, Romantic Movies",5.8,9071,5.7
s115,TV-14,143 min,"Dramas, International Movies, Thrillers",7.9,9221,8
s116,PG,119 min,"Dramas, Romantic Movies",4.6,9061,4.7
s117,TV-PG,114 min,"Comedies, Dramas, Independent Movies",6.1,2328,6.6
s118,PG-13,94 min,Documentaries,5.6,9639,5.8
s119,TV-14,106 min,"Dramas, International Movies, Thrillers",7.2,3615,6.8
s120,TV-MA,99 min,"Dramas, International Movies, Romantic Movies",6.2,1601,5.9
s121,TV-Y7,1 Season,"Kids' TV, TV Comedies",7.8,15106,7.6
s122,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",8.1,9013,7.6
s123,R,118 min,Thrillers,5,23852,5.2
s124,TV-Y7,1 Season,Kids' TV,4.6,6800,4.8
s125,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows",7.9,27768,7.5
s126,TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies",6.4,5557,6.1
s127,TV-14,115 min,"Dramas, International Movies, Romantic Movies",4.5,21177,4.1
s128,PG,95 min,"Children & Family Movies, Comedies",5.9,87840,6
s129,PG-13,115 min,"Dramas, International Movies, Thrillers",4.4,14977,4.3
s130,PG-13,108 min,Dramas,7.9,23400,8.1
s131,TV-Y,63 min,"Children & Family Movies, Music & Musicals",4.2,18179,3.8
s132,R,117 min,"Action & Adventure, Classic Movies, Cult Movies",5.9,3341,5.8
s133,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",6.3,19174,6.4
s134,R,121 min,"Action & Adventure, Sci-Fi & Fantasy",6.7,14275,6.5
s135,PG-13,142 min,"Action & Adventure, Dramas",6.9,13372,6.4
s136,R,113 min,Action & Adventure,5.1,27909,5.2
s137,R,154 min,"Dramas, Romantic Movies",4.2,17040,4.3
s138,PG,95 min,"Action & Adventure, Comedies",7.9,11086,7.4
s139,PG-13,108 min,"Dramas, Romantic Movies",5.1,1486,5
s140,R,120 min,"Classic Movies, Comedies, Dramas",6.4,23813,6
s141,TV-MA,100 min,"Dramas, International Movies, Thrillers",5.9,1785,6.2
s142,R,82 min,Action & Adventure,6.7,200239,6.3
s143,PG-13,124 min,Dramas,5.9,28456,5.7
s144,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",5.9,23915,5.6
s145,R,104 min,"Comedies, Cult Movies",5.3,4940,5.7
s146,R,94 min,"Comedies, Cult Movies, Music & Musicals",4.4,24750,4.7
s147,R,94 min,"Comedies, Music & Musicals",7,22694,7.4
s148,TV-PG,1 Season,Reality TV,6.8,157,7.1
s149,TV-14,1 Season,TV Shows,7,7091,7.2
s150,R,93 min,"Action & Adventure, Comedies",5.6,11539,6
s151,R,97 min,Thrillers,5.2,13377,5.1
s152,TV-14,109 min,"Action & Adventure, International Movies",6.3,8806,6.1
s153,TV-MA,88 min,Comedies,7.4,10478,7.1
s154,TV-Y,2 Seasons,Kids' TV,7,107,6.9
s155,TV-MA,3 Seasons,"Anime Series, International TV Shows, Teen TV Shows",6.8,5999,7.1
s156,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies",6.6,16559,6.7
s157,PG,105 min,"Comedies, Dramas, Romantic Movies",7.6,29750,7.9
s158,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers",4.8,16744,5.2
s159,PG-13,101 min,"Comedies, Romantic Movies",5.2,4153,5.3
s160,TV-MA,103 min,"Comedies, Dramas, International Movies",5.9,12607,5.7
s161,TV-PG,4 Seasons,TV Comedies,4,7234,4.5
s162,PG-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy",6.4,227173,6.9
s163,PG-13,118 min,Dramas,5.5,17054,5.8
s164,R,86 min,"Comedies, Romantic Movies",6.1,14577,6.5
s165,PG-13,121 min,"Action & Adventure, Comedies",5,10809,4.8
s166,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",4,26565,4.5
s167,R,229 min,"Classic Movies, Dramas",4.2,22120,4.4
s168,PG,76 min,"Children & Family Movies, Comedies",5.5,24277,5
s169,PG,95 min,"Action & Adventure, Children & Family Movies, Comedies",7.8,21594,8.2
s170,PG-13,98 min,"Action & Adventure, Dramas",6.8,11871,7.1
s171,R,89 min,"Documentaries, Music & Musicals",7.4,15729,7.9
s172,PG-13,120 min,"Dramas, Faith & Spirituality",4.4,26979,4
s173,PG-13,110 min,"Comedies, Music & Musicals",5.3,2761,5.8
s174,PG-13,83 min,"Documentaries, LGBTQ Movies",4.8,1476,4.3
s175,R,121 min,"Action & Adventure, Dramas",7.2,8875,7
s176,R,105 min,"Dramas, Romantic Movies",7.5,16941,7.7
s177,PG-13,94 min,"Action & Adventure, Comedies",6,10346,6.5
s178,TV-14,156 min,"Action & Adventure, Classic Movies",4.6,27861,5
s179,R,112 min,"Action & Adventure, Comedies",4.4,24458,4.5
s180,PG-13,95 min,"Comedies, Romantic Movies",4.8,4451,5
s181,PG-13,107 min,"Comedies, Romantic Movies",5.4,17911,5.4
s182,TV-14,1 Season,Docuseries,8,9520,7.6
s183,PG-13,114 min,Comedies,5.6,17165,5.6
s184,R,129 min,"Action & Adventure, Classic Movies",7.2,15393,7.6
s185,TV-PG,1 Season,Reality TV,4.8,4467,5.3
s186,TV-MA,86 min,"Documentaries, Sports Movies",5,28550,5.1
s187,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",8.4,12059,8.3
s188,TV-G,1 Season,"International TV Shows, TV Comedies",6.7,446,6.5
s189,TV-MA,97 min,"Comedies, International Movies",4,27044,3.9
s190,TV-Y,2 Seasons,"Kids' TV, TV Comedies",7,145,7.1
s191,TV-14,125 min,"Dramas, International Movies",7.5,14279,7.5
s192,R,107 min,"Dramas, Independent Movies",7.7,249800,8.1
s193,TV-14,127 min,"Action & Adventure, Comedies, International Movies",6.4,10786,6.9
s194,TV-MA,1 Season,"International TV Shows, TV Dramas",8.2,5445,7.8
s195,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",7.7,1561,8
s196,TV-14,128 min,"Comedies, Dramas, International Movies",5.3,14100,5.1
s197,TV-14,92 min,"Comedies, Romantic Movies",4.4,24843,4.1
s198,TV-Y7,1 Season,"Kids' TV, TV Comedies",6.5,229,6.4
s199,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",6.2,263,6
s200,TV-14,135 min,"Comedies, Dramas, International Movies",7.6,24714,7.9
s201,TV-14,124 min,"Action & Adventure, Horror Movies, International Movies",5.8,5572,5.9
s202,TV-14,136 min,"Dramas, International Movies, Thrillers",4.1,19950,4.3
s203,TV-MA,165 min,"Comedies, International Movies, Music & Musicals",7.7,17185,7.3
s204,TV-MA,124 min,"Comedies, International Movies",4.3,19931,4.5
s205,TV-MA,136 min,"Comedies, International Movies",4.5,15579,4.4
s206,TV-14,150 min,"Comedies, International Movies, Sci-Fi & Fantasy",5.1,23489,4.7
s207,TV-MA,112 min,"Dramas, Independent Movies, International Movies",7.5,6349,7.6
s208,TV-14,119 min,"Action & Adventure, International Movies, Music & Musicals",5.5,23103,5
s209,TV-14,133 min,"Dramas, International Movies, Music & Musicals",4.8,14643,4.3
s210,TV-14,142 min,"Dramas, International Movies, Music & Musicals",4.2,1666,4.4
s211,TV-MA,93 min,"Horror Movies, International Movies",7.9,16375,7.9
s212,TV-MA,113 min,"Horror Movies, International Movies",5.7,2010,5.4
s213,TV-MA,2 Seasons,"International TV Shows, TV Dramas",7.1,3890,7.3
s214,TV-PG,3 Seasons,"Docuseries, International TV Shows",7.6,18108,7.7
s215,R,124 min,"Action & Adventure, International Movies",7.9,28387,7.4
s216,TV-MA,116 min,"Action & Adventure, Dramas, International Movies",7.9,28407,8.1
s217,TV-14,106 min,"Comedies, Dramas, Independent Movies",4.6,16710,4.4
s218,TV-14,145 min,"Comedies, Dramas, International Movies",6.2,5150,6.1
s219,TV-14,1 Season,"Reality TV, Teen TV Shows",5.6,340,5.1
s220,TV-14,1 Season,"Anime Series, International TV Shows",7.2,1437,7.7
s221,TV-PG,4 Seasons,"Kids' TV, TV Comedies",6.5,2704,6.2
s222,TV-14,93 min,Documentaries,6.9,5981,7
s223,TV-MA,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries",7.2,52589,7.7
s224,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",6.5,874,7
s225,TV-14,1 Season,"International TV Shows, Reality TV",4.9,754,5.2
s226,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",6.5,1520,6.8
s227,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas",7.1,3434,7.4
s228,TV-MA,95 min,"Dramas, Independent Movies, Romantic Movies",6.1,889,6.5
s229,R,108 min,Action & Adventure,7.9,9018,8.4
s230,TV-MA,90 min,Horror Movies,5.4,6341,5.9
s231,TV-MA,86 min,"Documentaries, Sports Movies",6.9,1755,6.6
s232,PG,92 min,"Children & Family Movies, Dramas",5.5,3978,5.7
s233,TV-G,3 Seasons,Reality TV,6.7,3198,6.8
s234,TV-MA,82 min,"Documentaries, Music & Musicals",4.6,7485,5.1
s235,TV-Y,1 Season,"Kids' TV, TV Comedies",5.8,16175,5.4
s236,TV-PG,70 min,"Documentaries, LGBTQ Movies, Sports Movies",6.4,2676,6
s237,TV-14,122 min,"Horror Movies, International Movies, Thrillers",5.5,2576,5.1
s238,TV-14,122 min,"Horror Movies, International Movies, Thrillers",6.6,18152,6.7
s239,TV-14,122 min,"Horror Movies, International Movies, Thrillers",8,29248,8.1
s240,TV-14,122 min,"Horror Movies, International Movies, Thrillers",5.8,26040,5.6
s241,TV-MA,84 min,"Action & Adventure, Anime Features",7.2,43497,7.2
s242,TV-14,3 Seasons,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",7.6,11039,8.1
s243,TV-MA,1 Season,"International TV Shows, TV Comedies",4.7,1562,4.7
s244,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies",6.3,344,6.4
s245,TV-14,96 min,"Dramas, International Movies, Thrillers",4.8,12702,4.9
s246,TV-PG,1 Season,"Docuseries, International TV Shows",5.7,13866,5.9
s247,TV-MA,115 min,"Dramas, International Movies, Romantic Movies",6.9,1835,6.6
s248,R,110 min,"Action & Adventure, Dramas",5.5,31856,5.8
s249,TV-MA,1 Season,"TV Comedies, TV Dramas",7.2,16734,7
s250,TV-Y7,88 min,"Children & Family Movies, Comedies, Music & Musicals",6.1,2122,6.1
s251,TV-PG,102 min,"Dramas, International Movies, Romantic Movies",4.7,24784,5.2
s252,PG-13,91 min,"Dramas, Independent Movies, Romantic Movies",4.2,25900,4.6
s253,TV-MA,105 min,"International Movies, Thrillers",5.2,2854,5.3
s254,TV-14,135 min,"Dramas, International Movies, Romantic Movies",6.3,14353,6.1
s255,TV-Y,5 Seasons,Kids' TV,7.8,250,7.9
s256,TV-MA,86 min,"Documentaries, International Movies",6.3,3549,6.1
s257,TV-14,140 min,"Dramas, International Movies",3.8,128,4.3
s258,TV-14,133 min,"Dramas, International Movies, Romantic Movies",4.1,8708,3.8
s259,TV-MA,92 min,"Comedies, Dramas, International Movies",6.1,2856,6.4
s260,TV-PG,82 min,"Comedies, Dramas, International Movies",4.6,22433,4.1
s261,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",7,6344,7.2
s262,TV-14,97 min,"Comedies, International Movies, Romantic Movies",5.3,922,4.8
s263,TV-MA,78 min,"Documentaries, LGBTQ Movies, Sports Movies",7.3,2407,7.4
s264,TV-Y,2 Seasons,Kids' TV,7,5966,6.8
s265,R,94 min,"Comedies, Independent Movies",6.5,9729,7
s266,TV-14,1 Season,"Anime Series, International TV Shows, Romantic TV Shows",8.1,11696,8
s267,TV-MA,1 Season,"Docuseries, International TV Shows",7.8,2077,8
s268,R,121 min,"Classic Movies, Dramas, Independent Movies",4.1,6166,4.1
s269,TV-MA,97 min,"Dramas, International Movies",4,26537,4.5
s270,TV-Y7,2 Seasons,Kids' TV,6.1,7005,5.8
s271,TV-MA,110 min,Action & Adventure,5.6,26117,6
s272,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",7.1,15476,6.6
s273,TV-Y7,5 Seasons,Kids' TV,5.8,1491,5.3
s274,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",6.3,4207,6.2
s275,TV-MA,7 Seasons,"TV Comedies, TV Dramas",4.9,12443,5.2
s276,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",6.5,1414,6.8
s277,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",6.5,5840,6.3
s278,TV-14,1 Season,"International TV Shows, TV Dramas, Teen TV Shows",7.4,6061,6.9
s279,TV-MA,64 min,Stand-Up Comedy,5.6,27140,5.9
s280,TV-PG,59 min,"Action & Adventure, Anime Features, Children & Family Movies",5.1,1312,5.3
s281,TV-PG,1 Season,Reality TV,6.8,723,7
s282,TV-14,101 min,"Comedies, International Movies",4,13058,4.2
s283,TV-MA,127 min,"Dramas, Independent Movies, International Movies",4.5,24844,4.8
s284,PG-13,90 min,"Documentaries, International Movies",6.7,2613,6.3
s285,TV-14,114 min,"Comedies, Romantic Movies",4.7,16962,4.3
s286,R,108 min,"Dramas, International Movies",6.7,28922,6.4
s287,TV-Y,2 Seasons,Kids' TV,7,425,6.9
s288,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",4.2,9433,3.7
s289,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",6.6,306,6.9
s290,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",8,1013,8.2
s291,TV-MA,70 min,"Documentaries, Sports Movies",7.5,8438,7.1
s292,TV-14,1 Season,"Anime Series, International TV Shows",7,1839,7.5
s293,PG-13,98 min,"Comedies, Dramas, Independent Movies",7.2,8895,6.7
s294,TV-MA,86 min,"Comedies, International Movies, Romantic Movies",5.3,24660,4.9
s295,TV-PG,139 min,"International Movies, Music & Musicals",4.5,28423,4.1
s296,PG-13,111 min,"Action & Adventure, Comedies",5.9,14879,6
s297,TV-MA,1 Season,"TV Action & Adventure, TV Dramas, TV Mysteries",7,8950,6.5
s298,TV-MA,1 Season,TV Shows,5.8,3580,5.7
s299,TV-MA,115 min,"Comedies, Dramas, International Movies",7.3,7245,7.4
s300,TV-14,102 min,"Horror Movies, Independent Movies, International Movies",5.3,7043,5.8
s301,PG,100 min,"Children & Family Movies, Music & Musicals",6.6,18809,6.7
s302,TV-14,135 min,"Action & Adventure, Comedies, International Movies",7.2,24805,6.7
s303,TV-MA,69 min,"Documentaries, International Movies",6.6,11095,6.6
s304,TV-MA,95 min,"Comedies, Cult Movies, International Movies",6,21726,6.2
s305,TV-14,97 min,Documentaries,4.7,15171,5.2
s306,TV-MA,124 min,"Classic Movies, Dramas, International Movies",5.1,26300,4.9
s307,TV-PG,118 min,"Dramas, International Movies",5.6,234,5.8
s308,TV-MA,115 min,Horror Movies,5.3,16046,4.8
s309,TV-MA,115 min,Movies,5.9,17913,5.6
s310,TV-PG,3 Seasons,Reality TV,8.4,10809,8.8
s311,TV-MA,1 Season,"Crime TV Shows, Docuseries",7.1,2793,6.6
s312,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Dramas",6.9,9294,7.3
s313,TV-MA,1 Season,Reality TV,5.3,1104,5.7
s314,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",7,16840,7
s315,R,104 min,"Dramas, Independent Movies, Romantic Movies",4.3,5304,4.1
s316,TV-MA,106 min,"Dramas, International Movies",6.6,17875,6.9
s317,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",4.4,27938,4.1
s318,PG-13,102 min,"Documentaries, LGBTQ Movies",6.5,3005,6.4
s319,TV-MA,97 min,"Documentaries, International Movies",7.3,4909,7.5
s320,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",4.2,28583,4.7
s321,TV-PG,1 Season,Docuseries,5.5,1502,5.4
s322,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",6.5,3471,6.6
s323,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",6.6,16248,6.9
s324,TV-14,7 Seasons,TV Comedies,5.2,21198,5.4
s325,TV-Y7,3 Seasons,Kids' TV,6,290,5.9
s326,PG,87 min,"Children & Family Movies, Comedies",4.6,9229,4.2
s327,PG,88 min,"Children & Family Movies, Comedies",7.5,11526,7.3
s328,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",6.8,21679,7.2
s329,R,90 min,Action & Adventure,6.9,29267,6.6
s330,PG-13,142 min,Dramas,5.5,9196,5
s331,PG,90 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",3.3,774,2.9
s332,TV-MA,1 Season,"Anime Series, International TV Shows, TV Thrillers",6.1,5964,6.3
s333,R,105 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",4.2,17097,3.9
s334,PG-13,103 min,"Classic Movies, Comedies, Cult Movies",7.7,12841,7.7
s335,PG-13,116 min,"Dramas, Romantic Movies",6.7,19438,7.1
s336,R,113 min,"Dramas, Thrillers",7.2,17099,7.4
s337,TV-14,5 Seasons,"TV Dramas, Teen TV Shows",6.8,17328,6.6
s338,R,99 min,"Comedies, Romantic Movies",4.7,2928,4.2
s339,TV-14,6 Seasons,"Anime Series, International TV Shows",5.6,16606,5.5
s340,TV-14,96 min,"Dramas, Independent Movies, International Movies",7.6,25664,7.7
s341,PG-13,148 min,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",6.2,12568,6.4
s342,R,189 min,"Dramas, Independent Movies",4.3,12904,4.2
s343,PG-13,97 min,Comedies,5.8,27487,6.3
s344,PG-13,102 min,Dramas,5.3,29117,5.6
s345,PG,99 min,"Children & Family Movies, Comedies, Dramas",6,15525,5.7
s346,PG,85 min,"Children & Family Movies, Comedies",7.3,24332,7.3
s347,R,112 min,"Action & Adventure, Comedies",4.6,8245,5
s348,PG,91 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",6.1,6545,5.6
s349,PG-13,91 min,Comedies,7.6,24975,7.5
s350,PG-13,141 min,"Dramas, Sports Movies",5.2,15400,5.2
s351,PG-13,130 min,"Action & Adventure, Dramas, Sci-Fi & Fantasy",7.7,10176,7.4
s352,R,98 min,"Action & Adventure, Comedies, Cult Movies",7.8,9307,8.2
s353,R,105 min,"Comedies, Dramas",5.6,22434,5.5
s354,R,101 min,Horror Movies,6.2,25748,6.4
